id,name,ingredients,allergensraw,allergensmapped,,link
1, Seeded Batch Warburtons," wheat flour with calcium, iron, niacin b and thiamin b, water, seed mix  malted wheat flakes, sunflower seeds, brown linseed, millet seeds, poppy seeds, yeast, wheat gluten, malted barley flour, salt, soya flour, preservative calcium propionate, emulsifiers ee, e"," wheat, barley, soya","wheat, soy",, https://world.openfoodfacts.org/product/5010044002552/seeded-batch-warburtons
2, NYC Bagel Sesame New York Bakery," wheat flour, water, sesame seeds , sugar, yeast, rapeseed oil, salt, malted barley flour, flour treatment agent ascorbic acid"," wheat, sesame, barley","wheat, sesame",, https://world.openfoodfacts.org/product/5020364010151/nyc-bagel-sesame-new-york-bakery 
3, Houmous Carrefour," cooked chickpeas  water, chickpeas, water, sesame seed paste , rapeseed oil, salt, acid citric acid, garlic, preservative potassium sorbate", sesame,sesame,, https://world.openfoodfacts.org/product/3560071010522/houmous-carrefour 
4, Sesame Bagel Warburtons," wheat flour with calcium, iron, niacin b and thiamin b, water, sesame seeds , sugar, wheat gluten, yeast, salt, soya flour, preservative calcium propionate, flour treatment agent ascorbic acid"," wheat, sesame, soya","wheat, sesame, soy",, https://world.openfoodfacts.org/product/5010044008875/sesame-bagel-warburtons
5, Jben Jaouda," pasteurized cows milk, salt, lactic ferments", milk,milk,, https://world.openfoodfacts.org/product/6111242106949/jben-jaouda
6, Ghilal Yaourt Zr3 Jaouda," fresh milk, sugar, fruit preparation cereal grains, nuts, modified starch, thickeners pectin, guar gum, flavorings, lactic ferments"," milk, nuts","milk, tree nut",, https://world.openfoodfacts.org/product/6111242102002/ghilal-yaourt-zr3-jaouda 
7, Authentic Greek Yogurt Brooklea," pasteurized skimmed milk, cream milk, yogurt culture", milk,milk,, https://world.openfoodfacts.org/product/4088600060941/authentic-greek-yogurt-brooklea 
8, La Vache Qui Rit," rehydrated skimmed milk, cheeses, butter, milk proteins, emulsifying salts polyphosphates, calcium phosphates, citric acid, sodium citrates, salt", milk,milk,, https://world.openfoodfacts.org/product/3073781192186/la-vache-qui-rit 
9, Chia & Quinoa Loaf Promise Gluten Free," water, rice flour, tapioca starch, corn starch, rapeseed oil, humectant glycerine, black chia seeds , quinoa flour , egg white powder, yeast, sugar, psyllium husk powder, thickeners hydroxypropyl methyl cellulose, xanthan gum, salt, corn flour, preservative calcium propionate", egg,egg,, https://world.openfoodfacts.org/product/5411188110842/chia-quinoa-loaf-promise-gluten-free
10, Foie de morue nature au sel de Guérande," cod liver, salt", fish,fish,, https://world.openfoodfacts.org/product/3263670923414/foie-de-morue-nature-au-sel-de-guerande-121g-cble-connetable 
11, Fish Sauce Blue Dragon," anchovy extract , salt, sugar, water", fish,fish,, https://world.openfoodfacts.org/product/5010338404383/fish-sauce-imp-blue-dragon 
12, Mackerel fillets in spicy tomato sauce Nixe," mackerel fillets , water, tomato paste , rapeseed oil, sugar, spirit vinegar, salt, thickeners guar gum, locust bean gum modified starch, spices, natural flavoring", fish,fish,, https://world.openfoodfacts.org/product/20183059/mackrel-fillets-in-spicy-tomato-sauce-nixe
13, Mackerel in Tomato Sauce The Fishmonger," mackerel fish , water, tomato paste , rapeseed oil, sugar, spirit vinegar, salt, thickener guar gum", fish,fish,, https://world.openfoodfacts.org/product/4088600107004/mackerel-in-tomato-sauce-the-fishmonger 
